#SubbasinID	aquifer_porosity_%	basedepth	topdepth	initialdepth	passivedepth
1	0.1	-5	-2	-3.5	-6
2	0.1	-5	-2	-3.5	-6
3	0.1	-5	-2	-3.5	-6
4	0.1	-5	-2	-3.5	-6
5	0.1	-5	-2	-3.5	-6
6	0.1	-5	-2	-3.5	-6
7	0.1	-5	-2	-3.5	-6
8	0.1	-5	-2	-3.5	-6
9	0.1	-5	-2	-3.5	-6
10	0.1	-5	-2	-3.5	-6
11	0.1	-5	-2	-3.5	-6
12	0.1	-5	-2	-3.5	-6
13	0.1	-5	-2	-3.5	-6
14	0.1	-5	-2	-3.5	-6
15	0.1	-5	-2	-3.5	-6
16	0.1	-5	-2	-3.5	-6
17	0.1	-5	-2	-3.5	-6
18	0.1	-5	-2	-3.5	-6
19	0.1	-5	-2	-3.5	-6
20	0.1	-5	-2	-3.5	-6
21	0.1	-5	-2	-3.5	-6
22	0.1	-5	-2	-3.5	-6
23	0.1	-5	-2	-3.5	-6
24	0.1	-5	-2	-3.5	-6
