date	1	2	3	4	5
2016-01-01	0	0	0	0	0
2016-01-02	0	0	0	0	0
2016-01-03	29.0000016	18	19.9999992	19.0000008	35.0000016
2016-01-04	0.500000016	0	0	0.100000008	0
2016-01-05	13.5	12.3	12.3	14.90000016	12.3
2016-01-06	0	0	0	0	0
2016-01-07	0.200000016	0.100000008	0.100000008	0.200000016	0.100000008
2016-01-08	0	0	0	0.100000008	0
2016-01-09	0	0	0	0	0
2016-01-10	0	0.100000008	0.100000008	0.400000032	0.100000008
2016-01-11	10.1000004	10.69999992	10.69999992	13.1000004	10.69999992
2016-01-12	0	0.400000032	0.400000032	0.500000016	0.400000032
2016-01-13	1.030000008	0	0	1.249999968	0
2016-01-14	0	0	0	0.100000008	0
2016-01-15	0	0	0	0	0
2016-01-16	0	0	0	0.100000008	0
2016-01-17	0	0	0	0.400000032	0
2016-01-18	0	0	0	0	0
2016-01-19	0	0	0	0.100000008	0
2016-01-20	0	0	0	0	0
2016-01-21	1.5	2.000000064	2.000000064	2.90000016	2.000000064
2016-01-22	1.5	1.899999984	1.899999984	4.30000008	1.899999984
2016-01-23	0.80000004	2.29999992	2.29999992	2.29999992	2.29999992
2016-01-24	0	0	0	0.80000004	0
2016-01-25	0.200000016	0	0	0	0
2016-01-26	0	0	0	0	0
2016-01-27	0	0	0	0.100000008	0
2016-01-28	3.40000008	4.2	4.2	4.99999992	4.2
2016-01-29	10.6000008	9.79999992	9.79999992	9.99999984	9.79999992
2016-01-30	0.200000016	0.3	0.3	0.80000004	0.3
2016-01-31	0	0	0	0.100000008	0
2016-02-01	4.99999992	3.79999992	3.79999992	5.1999996	3.79999992
2016-02-02	0	0.100000008	0.100000008	0.100000008	0.100000008
2016-02-03	0	0	0	0	0
2016-02-04	0	0	0	0	0
2016-02-05	0	0	0	0	0
2016-02-06	0	0	0	0	0
2016-02-07	0	0	0	0	0
2016-02-08	0	0	0	0	0
2016-02-09	0	0	0	0	0
2016-02-10	0	0	0	0	0
2016-02-11	6.09999984	8.49999984	8.49999984	7.30000008	8.49999984
2016-02-12	0	0.3	0.3	0.3	0.3
2016-02-13	15.89999904	23.7	23.7	22.7000016	23.7
2016-02-14	3.20000016	3.49999992	3.49999992	4.69999992	3.49999992
2016-02-15	0	0	0	0	0
2016-02-16	0	0	0	0	0
2016-02-17	0	0	0	0	0
2016-02-18	0	0	0	0	0
2016-02-19	0	0	0	0	0
2016-02-20	0	0	0	0	0
2016-02-21	0	0	0	0	0
2016-02-22	2.4	4.5	4.5	5.59999992	4.5
2016-02-23	0	0	0	0	0
2016-02-24	0	0	0	0	0
2016-02-25	0	0	0	0	0
2016-02-26	0	0	0	0	0
2016-02-27	0	0	0	0	0
2016-02-28	0	0	0	0	0
2016-02-29	0	0	0	0	0
2016-03-01	0	0	0	0	0
2016-03-02	0	0	0	0	0
2016-03-03	0.500000016	0.100000008	0.100000008	0	0.100000008
2016-03-04	0.100000008	0	0	0.100000008	0
2016-03-05	0	0	0	0	0
2016-03-06	0	0	0	0	0
2016-03-07	0	0	0	0	0
2016-03-08	31.0999992	38.5999968	38.5999968	50.0999976	38.5999968
2016-03-09	12.69999936	12.89999904	12.89999904	12.80000064	12.89999904
2016-03-10	0	0	0	0	0
2016-03-11	0	0	0	0	0
2016-03-12	0	0	0	0	0
2016-03-13	0	0	0	0	0
2016-03-14	0	0	0	0	0
2016-03-15	0	0	0	0	0
2016-03-16	0	0	0	0	0
2016-03-17	0	0	0	0	0
2016-03-18	0	0	0	0	0
2016-03-19	0	0	0	0	0
2016-03-20	0	0	0	0	0
2016-03-21	0	0	0	0	0
2016-03-22	0	0	0	0	0
2016-03-23	0	0	0	0	0
2016-03-24	0	0	0	0	0
2016-03-25	0	0	0	0	0
2016-03-26	0	0	0	0	0
2016-03-27	0	0	0	0	0
2016-03-28	0	0	0	0	0
2016-03-29	0	0	0	0	0
2016-03-30	2.000000064	3.90000024	3.90000024	5.3000004	3.90000024
2016-03-31	3.20000016	3.3	3.3	3.90000024	3.3
2016-04-01	0	0	0	0	0
2016-04-02	11.20000008	7.90000032	9.99999984	9.3999996	7.90000032
2016-04-03	18.4999992	22.8	21.2000016	34.5	22.8
2016-04-04	0.200000016	0.400000032	0.500000016	0.500000016	0.400000032
2016-04-05	0	0	0	0	0
2016-04-06	31.3999992	25.3999992	26.8000008	30.1000008	25.3999992
2016-04-07	0.700000008	0.500000016	2.000000064	1.799999904	0.500000016
2016-04-08	0	0	0	0.100000008	0
2016-04-09	0	0	0	0	0
2016-04-10	0	0	0	0	0
2016-04-11	0	0	0	0	0
2016-04-12	0	0	0	0	0
2016-04-13	0	0	0	0	0
2016-04-14	0	0	0	0	0
2016-04-15	0	0	0	0	0
2016-04-16	16.9999992	21.3	18.7999992	20.7999984	21.3
2016-04-17	0.500000016	0.500000016	0.700000008	1.400000016	0.500000016
2016-04-18	0.400000032	0.3	0.3	0.3	0.3
2016-04-19	0	0	0	0	0
2016-04-20	17.7	18.7000008	22.0000008	26.0000016	18.7000008
2016-04-21	5.1999996	5.50000008	5.59999992	5.7	5.50000008
2016-04-22	0	0	0	0	0
2016-04-23	6.40000032	7.5	10.8999996	18.7999992	7.5
2016-04-24	0	0	0	0.100000008	0
2016-04-25	0	0	0	0	0
2016-04-26	2.20000008	1.400000016	1.000000032	2.000000064	1.400000016
2016-04-27	2.000000064	2.4	0.6	0.6	2.4
2016-04-28	0	0	0	0	0
2016-04-29	0	0	0	0	0
2016-04-30	0	0	0	0	0
