#rivID	nodeB	nodeE	length	width	slope	rough	inidepth	downID	gaugeID	plevel 	maxdepth	mindepth
1	0	1	2775.2	1.11	0.0033408	0.025	0.3	3	3	1	0.8	0.2
2	0	1	2913.5	4	0.004779333	0.025	0.3	3	3	1	0.8	0.2
3	1	2	662.8	4	0.004814081	0.025	0.3	5	3	2	0.8	0.2
4	0	2	923.6	2.1684	0.002880329	0.025	0.3	5	3	1	0.8	0.2
5	2	3	4838.4	3.6265	0.003346266	0.025	0.3	7	5	3	0.8	0.2
6	0	3	4691.5	2	0.003560363	0.025	0.3	7	3	1	0.8	0.2
7	3	4	404.9	10	0.002020778	0.025	0.3	9	5	4	0.8	0.2
8	0	4	810.4	2.793	0.001602125	0.025	0.3	9	3	1	0.8	0.2
9	4	5	2550.7	15	0.000403551	0.025	0.3	24	5	5	0.8	0.2
10	0	6	2744.5	2.66035	0.002596461	0.025	0.3	11	1	1	0.8	0.2
11	6	7	2854.9	9	0.005211991	0.025	0.3	13	1	2	0.5	0.2
12	0	7	1081.1	3	0.010299625	0.025	0.3	13	1	1	0.8	0.2
13	7	8	1838.5	10	0.00129051	0.025	0.3	15	4	3	0.8	0.2
14	0	8	2651.1	10.3	0.007051067	0.025	0.3	15	4	1	0.8	0.2
15	8	9	1743.7	7	0.001210564	0.025	0.3	17	5	4	0.8	0.2
16	0	9	2486.6	3.3509	0.002365752	0.025	0.3	17	4	1	0.8	0.2
17	9	11	1294	7.33	0.002283792	0.025	0.3	21	5	5	0.8	0.2
18	0	10	2046.5	2.7232	0.002169862	0.025	0.3	20	1	1	0.8	0.2
19	0	10	1039.5	2.4127	0.001313993	0.025	0.3	20	5	1	0.8	0.2
20	10	11	1859.7	1	0.5	0.025	0.3	21	5	2	0.8	0.1
21	11	12	607.3	7	0.0079347	0.025	0.3	23	5	6	0.8	0.2
22	0	12	827.7	2.2866	0.008529147	0.025	0.3	23	5	1	0.8	0.2
23	12	5	1959.5	8.5	0.000183274	0.025	0.3	24	5	7	0.8	0.2
24	5	13	2784.1	60	0.000856974	0.025	0.3	0	5	8	0.8	0.2
