#rivID	nodeB	nodeE	length	width	slope	rough	inidepth	downID	gaugeID plevel height
1	0	1	2775.2	4.0258	0.5	0.025	0.3	3	1 1 0.5
2	0	1	2913.5	3.8637	0.5	0.025	0.3	3	1 1 0.5
3	1	2	662.8	0.45873	0.5	0.025	0.3	5	1 2 0.5
4	0	2	923.6	2.1684	0.5	0.025	0.3	5	1 1 0.5
5	2	3	4838.4	3.6265	0.5	0.025	0.3	7	5 3 0.5
6	0	3	4691.5	1.4981	0.5	0.025	0.3	7	3 1 0.5
7	3	4	404.9	0.28616	0.5	0.025	0.3	9	5 4 0.5
8	0	4	810.4	2.793	0.5	0.025	0.3	9	3 1 0.5
9	4	5	2550.7	2.2313	0.5	0.025	0.3	24 5 5 0.5
10	0	6	2744.5	2.66035	0.5	0.025	0.3	11 2 1 0.5
11	6	7	2854.9	3.2008	0.5	0.025	0.3	13 2 2 0.5
12	0	7	1081.1	2.177	0.5	0.025	0.3	13 2 1 0.5 
13	7	8	1838.5	2.2975	0.5	0.025	0.3	15 4 3 0.5
14	0	8	2651.1	3.3654	0.5	0.025	0.3	15 4 1 0.5
15	8	9	1743.7	0.70704	0.5	0.025	0.3	17 5 4 0.5
16	0	9	2486.6	3.3509	0.5	0.025	0.3	17 4 1 0.5
17	9	11	1294	2.379	0.5	0.025	0.3	21 5 5 0.5
18	0	10	2046.5	2.7232	0.5	0.025	0.3	20 1 1 0.5
19	0	10	1039.5	2.4127	0.5	0.025	0.3	20 5 1 0.5
20	10	11	1859.7	0.7707	0.5	0.025	0.3	21 5 2 0.5
21	11	12	607.3	1.148	0.5	0.025	0.3	23 5 6 0.5
22	0	12	827.7	2.2866	0.5	0.025	0.3	23 5 1 0.5
23	12	5	1959.5	1.545315	0.5	0.025	0.3	24 5 7 0.5
24	5	13	2784.1	3.2921	0.5	0.025	0.3	0	5 8 0.5
