riv 	claytaucd 	claytaucs 	mclay(kg/m2) 	silttaucd 	silttaucs 	mcsilt(kg/m2) 	ks
  1 	 110      	   130    	        0.05 	 110      	  130     	        0.1   	0.
  2 	 110      	   130    	        0.05 	 110      	  130     	        0.1   	0.
  3 	   1      	     2.35 	        0.05 	   1      	    2.35  	        0.05  	0.96
  4 	  90      	   100    	        0.05 	  90      	  100     	        0.1   	0.
  5 	   0.7    	     1.5  	        0.05 	   0.7    	    0.86  	        0.058 	0.98
  6 	 110      	   130    	        0.05 	 110      	  130     	        0.1   	0.
  7 	   0.8    	     1    	        0.05 	   0.45   	    0.53  	        0.06  	0.965
  8 	  90      	   100    	        0.05 	  90      	  100     	        0.1   	0.
  9 	   0.05   	     0.18 	        0.06 	   0.05   	    0.16  	        0.06  	0.94
 10 	 110      	   130    	        0.05 	 110      	  130     	        0.1   	0.
 11 	   1.2    	     3.5  	        0.05 	   1.2    	    3.4   	        0.05  	0.98
 12 	  50      	   220    	        0.05 	  90      	  100     	        0.05  	0.
 13 	   0.3    	     0.85 	        0.05 	   0.3    	    0.85  	        0.05  	0.98
 14 	 110      	   130    	        0.05 	 110      	  130     	        0.1   	0.
 15 	   0.25   	     0.46 	        0.05 	   0.25   	    0.36  	        0.065 	0.99
 16 	  90      	   100    	        0.05 	  90      	  100     	        0.1   	0.
 17 	   0.6    	     0.9  	        0.05 	   0.6    	    0.78  	        0.13  	0.995
 18 	 200      	   220    	        0.05 	 200      	  220     	        0.1   	0.
 19 	   0      	   350    	        1    	   0      	  350     	        0.1   	0.
 20 	  60      	   108    	        0.05 	  60      	  113     	        0.1   	0.94
 21 	   4.8    	     5    	        0.05 	   4      	    5     	        0.05  	0.94
 22 	   0      	     0    	        0.05 	   0      	    0     	        0.1   	0.
 23 	   0.0414 	     0.1  	        0.05 	   0.0414 	    0.044	        0.05  	0.985
 24 	  0.35     	   0.45   	        0.05 	  0.25     	   0.3     	        0.1   	0.99
