DATE	1	2	3	4	5
2016-01-01	2.925	2.65	2.85	2.933333333	2.970833333
2016-01-02	6.3	6.433333333	6.220833333	6.5125	6.391666667
2016-01-03	7.133333333	7.1625	7.1625	7.220833333	7.220833333
2016-01-04	7.141666667	7.45	7.341666667	7.341666667	7.391666667
2016-01-05	9.508333333	9.645833333	9.608333333	9.479166667	9.2875
2016-01-06	8.695833333	8.795833333	8.920833333	8.758333333	9.116666667
2016-01-07	4.05	4.404166667	4.404166667	4.375	4.6375
2016-01-08	2.958333333	3.379166667	3.3375	3.404166667	3.55
2016-01-09	1.129166667	1.4375	0.729166667	1.4	1.454166667
2016-01-10	4.0125	4.133333333	4.141666667	4.091666667	4.2
2016-01-11	3.333333333	3.629166667	3.6125	3.595833333	3.679166667
2016-01-12	2.745833333	2.925	2.908333333	2.608333333	2.391666667
2016-01-13	3.220833333	3.195833333	2.9	3.4125	2.854166667
2016-01-14	3.308333333	3.558333333	3.595833333	3.7625	3.470833333
2016-01-15	0.795833333	0.925	1.0375	0.783333333	0.654166667
2016-01-16	1.041666667	1.054166667	1.104166667	1.175	1.383333333
2016-01-17	2.104166667	2.379166667	2.370833333	2.479166667	2.629166667
2016-01-18	3.325	3.616666667	3.616666667	3.483333333	3.6625
2016-01-19	4.0625	3.595833333	3.595833333	3.220833333	3.879166667
2016-01-20	5.379166667	4.2375	4.2375	4.020833333	3.395833333
2016-01-21	5.25	4.595833333	4.595833333	4.108333333	3.25
2016-01-22	5.579166667	5.804166667	5.720833333	5.7375	5.7
2016-01-23	7.125	7.416666667	7.416666667	7.279166667	7.379166667
2016-01-24	6.8875	7.170833333	7.170833333	6.691666667	6.870833333
2016-01-25	4.641666667	5.195833333	4.7875	5.0125	5.125
2016-01-26	1.5	1.854166667	1.854166667	1.854166667	1.945833333
2016-01-27	0.854166667	1.554166667	1.554166667	1.3	1.5375
2016-01-28	3.05	3.7375	3.670833333	3.391666667	3.6875
2016-01-29	4.245833333	4.429166667	4.258333333	3.945833333	4.120833333
2016-01-30	4.095833333	3.416666667	3.591666667	3.875	3.6625
2016-01-31	4.2375	3.970833333	3.970833333	2.9875	2.491666667
2016-02-01	8.220833333	7.1875	7.1875	5.816666667	4.604166667
2016-02-02	9.079166667	8.833333333	8.833333333	8.125	7.195833333
2016-02-03	6.7375	6.920833333	6.920833333	6.720833333	6.054166667
2016-02-04	8.325	7.566666667	7.508333333	6.695833333	5.383333333
2016-02-05	6.925	6.7375	6.7625	6.754166667	6.058333333
2016-02-06	3.9375	4.2375	4.2375	4.475	4.354166667
2016-02-07	4.2125	4.691666667	4.404166667	4.545833333	4.5375
2016-02-08	5.975	6.191666667	6.108333333	6.441666667	6.345833333
2016-02-09	5.625	5.145833333	5.3125	5.525	4.779166667
2016-02-10	9.258333333	8.0375	7.679166667	7.591666667	6.620833333
2016-02-11	9.05	9.175	0	8.616666667	8.0875
2016-02-12	9.2875	8.845833333	0	8.841666667	7.333333333
2016-02-13	11.40416667	10.95	0	10.35	8.983333333
2016-02-14	13.52916667	13.45833333	0	12.65416667	11.9125
2016-02-15	3.025	3.4375	0	3.5625	3.733333333
2016-02-16	1.183333333	1.879166667	0	1.25	1.320833333
2016-02-17	3.345833333	3.279166667	0	2.7875	3.225
2016-02-18	5.470833333	5.266666667	0	4.8	3.9625
2016-02-19	8.316666667	7.929166667	0	7.491666667	7.8125
2016-02-20	10.775	9.791666667	0	8.929166667	7.579166667
2016-02-21	10.04583333	9.291666667	0	9.116666667	8.604166667
2016-02-22	9.183333333	7.8875	0	7.320833333	6.8875
2016-02-23	12.675	11.45416667	0	11.25	9.783333333
2016-02-24	15.9	15.42083333	0	15.27083333	12.85833333
2016-02-25	14.92916667	14.84166667	0	14.22083333	13.92916667
2016-02-26	10.50416667	9.95	0	10.10416667	10.1
2016-02-27	8.6375	8.804166667	0	9	9.041666667
2016-02-28	7.383333333	7.666666667	0	7.758333333	7.879166667
2016-02-29	7.7875	7.675	0	8.270833333	8.075
2016-03-01	8.75	8.6	0	9.1375	9.220833333
2016-03-02	7.8	7.970833333	0	8.3875	8.454166667
2016-03-03	8.804166667	8.8125	0	8.4	8.179166667
2016-03-04	9.983333333	9.9	0	10.31666667	10.02916667
2016-03-05	8.6875	8.7875	0	8.525	7.908333333
2016-03-06	9.120833333	8.604166667	0	9.229166667	8.929166667
2016-03-07	12.08333333	11.7125	0	11.35	10.56666667
2016-03-08	13.2875	12.75833333	0	12.39166667	11.83333333
2016-03-09	10.09166667	10.59166667	4.779166667	10.4125	10.4375
2016-03-10	9.3	9.758333333	9.758333333	9.475	9.904166667
2016-03-11	11.64166667	11.075	11.075	10.79166667	10.07916667
2016-03-12	13.45	13.01666667	13.01666667	12.8875	12.14166667
2016-03-13	9.391666667	9.083333333	9.083333333	9.508333333	9.483333333
2016-03-14	8.8875	9.425	9.316666667	8.945833333	8.5625
2016-03-15	12.95	11.83333333	11.83333333	11.55	11.57083333
2016-03-16	14.1	13.29166667	13.17083333	13.5625	12.75416667
2016-03-17	16.09166667	15.19166667	15.3125	15.2	13.6375
2016-03-18	17.75	16.8625	16.8625	16.66666667	15.55833333
2016-03-19	16.66666667	15.8125	15.8125	16.875	15.91666667
