gw_mix	percop	ratem	kex	kt	kdif	DTsoil 	DTwater	Kpwater	Kpsoil	Kpsed
0.982	0.586	0.0394	0.00491	1.0586	0.00077	180	180	0.0080172 	48.62	0.02247782
0.982	0.586	0.0394	0.00491	1.0586	0.00077	84.908	6.32	0.0080172 	48.62	0.02247782
0.343	0.964	0.1031	0.001715	1.0964	0.001355	24.842	7.58	0.0026819 	376.89	0.00631893
0.325	0.1	0.255	0.001625	1.0325	5.00E-04	23.15	5.45	0.0000142 	492.75	0.00586375
0.982	0.586	0.0394	0.00491	1.0586	0.00077	84.908	6.32	0.0026819 	125.86	0.02247782
0.325	0.55	0.01	0.001625	1.0325	5.00E-04	23.15	5.45	0.0000142 	492.75	0.00586375
0.325	0.1	0.1325	0.001625	1.01	0.001625	23.15	6.2	0.0000142 	492.75	0.00586375
0.325	0.1	0.1325	0.001625	1.01	0.001625	44.3	5.45	0.0000142 	492.75	0.00586375
0.325	0.1	0.1325	0.00275	1.0325	5.00E-04	23.15	5.45	0.0000142 	492.75	0.00586375
0.325	0.1	0.1325	0.001625	1.01	0.00275	23.15	5.45	0.0000142 	492.75	0.00586375
0.325	0.1	0.1325	0.001625	1.055	5.00E-04	23.15	5.45	0.0000142 	492.75	0.00586375
0.343	0.964	0.1031	0.001715	1.0964	0.001355	24.842	7.58	0.0253571 	48.62	0.00631893
0.334	0.118	0.3726	0.00149	1.0334	0.00059	20.612	5.48	0.0026819 	434.82	0.00609134
0.415	0.82	0.0345	0.002075	1.082	0.000725	31.61	7.1	0.0066834 	203.1	0.00813965
0.334	0.766	0.0198	0.00149	1.0334	0.00059	20.612	5.48	0.0026819 	434.82	0.00609134
0.343	0.136	0.4902	0.001355	1.0343	0.00068	18.074	5.51	0.0053496 	376.89	0.00631893
0.397	0.856	0.0149	0.001985	1.0856	0.000545	29.918	7.22	0.0013480 	647.23	0.01337422
0.415	0.82	0.0345	0.002075	1.082	0.000725	31.61	7.1	0.0133526 	106.55	0.00813965
0.334	0.118	0.1178	0.00167	1.0118	0.00149	23.996	6.92	0.0026819 	434.82	0.00609134
0.397	0.244	0.0149	0.001985	1.0244	0.000545	37.532	5.69	0.0213556 	29.31	0.00768447
0.334	0.118	0.1178	0.00167	1.0118	0.00149	64.604	5.48	0.0026819 	434.82	0.00609134
0.334	0.118	0.1178	0.00383	1.0334	0.00059	20.612	5.48	0.0026819 	434.82	0.00609134
0.334	0.118	0.1178	0.00167	1.0118	0.00383	20.612	5.48	0.0026819 	434.82	0.00609134
0.334	0.118	0.1178	0.00167	1.0766	0.00059	20.612	5.48	0.0026819 	434.82	0.00609134
0.343	0.982	0.0296	0.001355	1.0343	0.00068	18.074	5.51	0.0053496 	376.89	0.00631893
0.55	0.325	0.01	0.001625	1.0325	5.00E-04	23.15	5.45	0.0000142 	492.75	0.00586375
0.316	0.118	0.1472	0.00158	1.0118	0.00176	22.304	5.48	0.0026819 	550.68	0.00563616
0.316	0.118	0.1472	0.00158	1.0118	0.00167	25.688	5.42	0.0026819 	550.68	0.00563616
0.316	0.118	0.1472	0.00158	1.0118	0.00176	23.996	5.42	0.0026819 	550.68	0.00563616
0.316	0.118	0.1472	0.00167	1.0316	0.00059	25.688	5.42	0.0026819 	550.68	0.00563616
0.316	0.118	0.1472	0.00158	1.0334	0.00059	25.688	5.42	0.0026819 	550.68	0.00563616
0.397	0.244	0.0149	0.001985	1.0244	0.000545	29.918	5.96	0.0213556 	29.31	0.00768447
0.379	0.208	0.0443	0.001895	1.0208	0.000815	28.226	5.06	0.0080172 	145.17	0.00722929
0.316	0.118	0.1374	0.00176	1.0316	0.00059	25.688	5.42	0.0026819 	550.68	0.00563616
0.397	0.856	0.0149	0.001985	1.0856	0.000545	29.918	7.22	0.0013480 	1129.98	0.00768447
0.406	0.838	0.0198	0.00203	1.0838	0.00059	30.764	7.16	0.0026819 	666.54	0.00791206
0.406	0.838	0.0198	0.00203	1.0838	0.00059	30.764	7.16	0.0026819 	666.54	0.00791206
0.307	0.136	0.1619	0.001535	1.0136	0.001895	21.458	4.82	0.0026819 	608.61	0.00540857
0.379	0.208	0.0443	0.001895	1.0208	0.000815	28.226	5.06	0.0093511 	125.86	0.00722929
0.397	0.244	0.0149	0.001985	1.0244	0.000545	29.918	5.18	0.0013480 	647.23	0.00973278
