source	target	value
Forest	Surflow	1.012100315
Forest	Interflow	1.117249302
Forest	Baseflow	4.122655
Forest	Sediment-erosion	0.330857274
Agricultural-land	Surflow	10.31865464
Agricultural-land	Interflow	3.422298847
Agricultural-land	Baseflow	14.12765127
Agricultural-land	Sediment-erosion	0.576694057
others	Surflow	5.835948372
others	Interflow	2.214492467
others	Baseflow	9.067203155
others	Sediment-erosion	3.477615467
Surflow	R1	0.927629896
Surflow	R2	0.344295586
Surflow	R3	0.042571379
Surflow	R4	0.326184645
Surflow	R5	0.744206084
Surflow	R6	0.807354102
Surflow	R7	0.003928286
Surflow	R8	0.220023127
Surflow	R9	1.3242223
Surflow	R10	0.528199
Surflow	R11	1.188506141
Surflow	R12	0.110171174
Surflow	R13	0.174435041
Surflow	R14	0.235927107
Surflow	R15	0.126435374
Surflow	R16	0.364353815
Surflow	R17	0.640611042
Surflow	R18	2.67987416
Surflow	R19	1.468077992
Surflow	R20	0.137883193
Surflow	R21	0.047669914
Surflow	R22	2.238443079
Surflow	R23	1.509223801
Surflow	R24	0.976477089
Interflow	R1	0.307743213
Interflow	R2	0.172588634
Interflow	R3	0.014279718
Interflow	R4	0.210775443
Interflow	R5	0.307328157
Interflow	R6	0.577066632
Interflow	R7	0.002685004
Interflow	R8	0.174189305
Interflow	R9	0.335754294
Interflow	R10	0.95458874
Interflow	R11	0.260171626
Interflow	R12	0.265618191
Interflow	R13	0.09631673
Interflow	R14	0.336844998
Interflow	R15	0.046394205
Interflow	R16	0.355145631
Interflow	R17	0.236541485
Interflow	R18	0.227083128
Interflow	R19	0.363846655
Interflow	R20	0.043565432
Interflow	R21	0.03667192
Interflow	R22	0.592174394
Interflow	R23	0.423187321
Interflow	R24	0.413479758
Baseflow	R1	2.684729366
Baseflow	R2	2.636100796
Baseflow	R3	0.04912544
Baseflow	R4	0.555294124
Baseflow	R5	2.228130114
Baseflow	R6	1.998870344
Baseflow	R7	0.038274351
Baseflow	R8	1.455062074
Baseflow	R9	0.476261589
Baseflow	R10	3.802188318
Baseflow	R11	1.375570214
Baseflow	R12	0.76213756
Baseflow	R13	1.060943107
Baseflow	R14	1.911527806
Baseflow	R15	0.073585173
Baseflow	R16	1.289706102
Baseflow	R17	0.724015261
Baseflow	R18	0.576238535
Baseflow	R19	0.491698395
Baseflow	R20	0.060364149
Baseflow	R21	0.331997093
Baseflow	R22	0.786919258
Baseflow	R23	0.998300597
Baseflow	R24	0.950469662
Sediment-erosion	R1	0.245418255
Sediment-erosion	R2	0.068360569
Sediment-erosion	R3	0.017889435
Sediment-erosion	R4	0.057184528
Sediment-erosion	R5	0.192158705
Sediment-erosion	R6	0.129044234
Sediment-erosion	R7	0.000668536
Sediment-erosion	R8	0.044885877
Sediment-erosion	R9	0.172381026
Sediment-erosion	R10	0.194245992
Sediment-erosion	R11	0.328442946
Sediment-erosion	R12	0.074244739
Sediment-erosion	R13	0.059894566
Sediment-erosion	R14	0.095481356
Sediment-erosion	R15	0.030943877
Sediment-erosion	R16	0.065228258
Sediment-erosion	R17	0.109772181
Sediment-erosion	R18	1.14318499
Sediment-erosion	R19	0.332470928
Sediment-erosion	R20	0.016682159
Sediment-erosion	R21	0.015755685
Sediment-erosion	R22	0.586898091
Sediment-erosion	R23	0.206515552
Sediment-erosion	R24	0.197414311
R1	Degradation	0
R1	Burial	0
R1	Residue	0
R1	Discharge	0.284493575
R2	Degradation	0
R2	Burial	0
R2	Residue	0
R2	Discharge	0.220009017
R3	Degradation	1.215989331
R3	Burial	2.37601E-05
R3	Residue	0.003191972
R3	Discharge	0.010131974
R4	Degradation	0
R4	Burial	0
R4	Residue	0
R4	Discharge	0.094021658
R5	Degradation	5.218863044
R5	Burial	0.017224625
R5	Residue	0.111762245
R5	Discharge	1.00952566
R6	Degradation	0
R6	Burial	0
R6	Residue	0
R6	Discharge	1.021305684
R7	Degradation	1.072605592
R7	Burial	0.003749833
R7	Residue	0.026430409
R7	Discharge	0.015078484
R8	Degradation	0
R8	Burial	0
R8	Residue	0
R8	Discharge	0.626941697
R9	Degradation	4.079822217
R9	Burial	0.017871641
R9	Residue	0.117474084
R9	Discharge	1.329255076
R10	Degradation	0
R10	Burial	0
R10	Residue	0
R10	Discharge	0.242012125
R11	Degradation	2.405335872
R11	Burial	0.010505423
R11	Residue	0.07725987
R11	Discharge	0.255476665
R12	Degradation	0
R12	Burial	0
R12	Residue	0
R12	Discharge	0.098227699
R13	Degradation	2.178422977
R13	Burial	0.007215607
R13	Residue	0.066275912
R13	Discharge	0.162556364
R14	Degradation	0
R14	Burial	0
R14	Residue	0
R14	Discharge	0.30135315
R15	Degradation	4.248437776
R15	Burial	0.013278702
R15	Residue	0.092393139
R15	Discharge	0.06230218
R16	Degradation	0
R16	Burial	0
R16	Residue	0
R16	Discharge	0.465973418
R17	Degradation	2.912707109
R17	Burial	0.0092715
R17	Residue	0.068080049
R17	Discharge	0.666018568
R18	Degradation	0
R18	Burial	0
R18	Residue	0
R18	Discharge	1.614588084
R19	Degradation	0
R19	Burial	0
R19	Residue	0
R19	Discharge	0.92696599
R20	Degradation	0.714015745
R20	Burial	0.00327937
R20	Residue	0.036186922
R20	Discharge	0.100624469
R21	Degradation	0.513852513
R21	Burial	0.004997033
R21	Residue	0.055874705
R21	Discharge	0.176255239
R22	Degradation	0
R22	Burial	0
R22	Residue	0
R22	Discharge	1.715026391
R23	Degradation	4.679359199
R23	Burial	0.020864854
R23	Residue	0.151238268
R23	Discharge	1.806350419
R24	Degradation	8.571086911
R24	Burial	0.106979016
R24	Residue	1.050998456
R24	Discharge	0
