"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11"
"1" 0.55 0.55 0.255 0.00275 1.055 0.00275 44.3 6.2 0.0667061 975.5 0.0115535
"2" 0.766 0.559 0.2648 0.002885 1.0559 0.00284 46.838 6.23 0.069373776 1033.43 0.01178109
"3" 0.982 0.568 0.2746 0.00302 1.0568 0.00293 49.376 6.26 0.072041452 1091.36 0.01200868
"4" 0.802 0.577 0.2844 0.003155 1.0577 0.00302 51.914 6.29 0.074709128 1149.29 0.01223627
"5" 0.586 0.586 0.2942 0.00329 1.0586 0.00311 54.452 6.32 0.077376804 1207.22 0.01246386
"6" 0.37 0.595 0.304 0.003425 1.0595 0.0032 56.99 6.35 0.08004448 1265.15 0.01269145
"7" 0.154 0.604 0.3138 0.00356 1.0604 0.00329 59.528 6.38 0.082712156 1323.08 0.01291904
"8" 0.262 0.613 0.3236 0.003695 1.0613 0.00338 62.066 6.41 0.085379832 1381.01 0.01314663
"9" 0.478 0.622 0.3334 0.00383 1.0622 0.00347 64.604 6.44 0.088047508 1438.94 0.01337422
"10" 0.694 0.631 0.3432 0.003965 1.0631 0.00356 67.142 6.47 0.090715184 1496.87 0.01360181
"11" 0.91 0.64 0.353 0.0041 1.064 0.00365 69.68 6.5 0.09338286 1554.8 0.0138294
"12" 0.874 0.649 0.3628 0.004235 1.0649 0.00374 72.218 6.53 0.096050536 1612.73 0.01405699
"13" 0.658 0.658 0.3726 0.00437 1.0658 0.00383 74.756 6.56 0.098718212 1670.66 0.01428458
"14" 0.442 0.667 0.3824 0.004505 1.0667 0.00392 77.294 6.59 0.101385888 1728.59 0.01451217
"15" 0.226 0.676 0.3922 0.00464 1.0676 0.00401 79.832 6.62 0.104053564 1786.52 0.01473976
"16" 0.19 0.685 0.402 0.004775 1.0685 0.0041 82.37 6.65 0.10672124 1844.45 0.01496735
"17" 0.406 0.694 0.4118 0.00491 1.0694 0.00419 84.908 6.68 0.109388916 1902.38 0.01519494
"18" 0.622 0.703 0.4216 0.004955 1.0703 0.00428 85.754 6.71 0.112056592 1921.69 0.01542253
"19" 0.838 0.712 0.4314 0.00482 1.0712 0.00437 83.216 6.74 0.114724268 1863.76 0.01565012
"20" 0.946 0.721 0.4412 0.004685 1.0721 0.00446 80.678 6.77 0.117391944 1805.83 0.01587771
"21" 0.73 0.73 0.451 0.00455 1.073 0.00455 78.14 6.8 0.12005962 1747.9 0.0161053
"22" 0.514 0.739 0.4608 0.004415 1.0739 0.00464 75.602 6.83 0.122727296 1689.97 0.01633289
"23" 0.298 0.748 0.4706 0.00428 1.0748 0.00473 73.064 6.86 0.125394972 1632.04 0.01656048
"24" 0.118 0.757 0.4804 0.004145 1.0757 0.00482 70.526 6.89 0.128062648 1574.11 0.01678807
"25" 0.334 0.766 0.4902 0.00401 1.0766 0.00491 67.988 6.92 0.130730324 1516.18 0.01701566
"26" 0.550000000000001 0.775 0.5 0.003875 1.0775 0.005 65.45 6.95 0.133398 1458.25 0.01724325
"27" 0.766000000000001 0.784 0.4902 0.00374 1.0784 0.00491 62.912 6.98 0.130730324 1400.32 0.01747084
"28" 0.982 0.793 0.4804 0.003605 1.0793 0.00482 60.374 7.01 0.128062648 1342.39 0.01769843
"29" 0.802 0.802 0.4706 0.00347 1.0802 0.00473 57.836 7.04 0.125394972 1284.46 0.01792602
"30" 0.586 0.811 0.4608 0.003335 1.0811 0.00464 55.298 7.07 0.122727296 1226.53 0.01815361
"31" 0.369999999999999 0.82 0.451 0.0032 1.082 0.00455 52.76 7.1 0.12005962 1168.6 0.0183812
"32" 0.153999999999999 0.829 0.4412 0.003065 1.0829 0.00446 50.222 7.13 0.117391944 1110.67 0.01860879
"33" 0.262 0.838 0.4314 0.00293 1.0838 0.00437 47.684 7.16 0.114724268 1052.74 0.01883638
"34" 0.478 0.847 0.4216 0.002795 1.0847 0.00428 45.146 7.19 0.112056592 994.81 0.01906397
"35" 0.694000000000001 0.856 0.4118 0.00266 1.0856 0.00419 42.608 7.22 0.109388916 936.88 0.01929156
"36" 0.91 0.865 0.402 0.002525 1.0865 0.0041 40.07 7.25 0.10672124 878.95 0.01951915
"37" 0.873999999999999 0.874 0.3922 0.00239 1.0874 0.00401 37.532 7.28 0.104053564 821.02 0.01974674
"38" 0.658 0.883 0.3824 0.002255 1.0883 0.00392 34.994 7.31 0.101385888 763.09 0.01997433
"39" 0.442 0.892 0.3726 0.00212 1.0892 0.00383 32.456 7.34 0.098718212 705.16 0.02020192
"40" 0.225999999999999 0.901 0.3628 0.001985 1.0901 0.00374 29.918 7.37 0.096050536 647.23 0.02042951
"41" 0.19 0.91 0.353 0.00185 1.091 0.00365 27.38 7.4 0.09338286 589.3 0.0206571
"42" 0.406 0.919 0.3432 0.001715 1.0919 0.00356 24.842 7.43 0.090715184 531.37 0.02088469
"43" 0.622 0.928 0.3334 0.00158 1.0928 0.00347 22.304 7.46 0.088047508 473.44 0.02111228
"44" 0.838 0.937 0.3236 0.001445 1.0937 0.00338 19.766 7.49 0.085379832 415.51 0.02133987
"45" 0.945999999999999 0.946 0.3138 0.00131 1.0946 0.00329 17.228 7.52 0.082712156 357.58 0.02156746
"46" 0.729999999999998 0.955 0.304 0.001175 1.0955 0.0032 14.69 7.55 0.08004448 299.649999999999 0.02179505
"47" 0.514 0.964 0.2942 0.00104 1.0964 0.00311 12.152 7.58 0.077376804 241.72 0.02202264
"48" 0.298000000000001 0.973 0.2844 0.000905000000000001 1.0973 0.00302 9.61400000000001 7.61 0.074709128 183.79 0.02225023
"49" 0.118 0.982 0.2746 0.00077 1.0982 0.00293 7.076 7.64 0.072041452 125.86 0.02247782
"50" 0.334000000000001 0.991 0.2648 0.000635 1.0991 0.00284 4.538 7.67 0.069373776 67.93 0.02270541
"51" 0.550000000000002 1 0.255 5e-04 1.1 0.00275 2 7.7 0.0667061 10 0.022933
"52" 0.766 0.991 0.2452 0.000635 1.0991 0.00266 4.538 7.67 0.064038424 67.93 0.02270541
"53" 0.982000000000001 0.982 0.2354 0.00077 1.0982 0.00257 7.076 7.64 0.061370748 125.86 0.02247782
